integration_id,viewpoint_code,viewpoint_name,required,required_reason,status,test_case_id,test_depth,evidence_required,evidence_id,evidence_status,observability_point,last_tested_at,defect_id,owner,remarks
INT-001,NET,通信,Yes,メールからSharePoint URLへ到達できる必要がある,READY,TC-001-001,Normal,Yes,,未取得,SharePointアクセスログ,2026-06-28,,M365Team,メール内URLからSharePointへ到達
INT-001,AUTH,認証,Yes,SSOまたは再認証の期待動作を確認する必要がある,PLANNED,TC-001-002,Normal,Yes,,未取得,認証ログ,2026-06-28,,M365Team,SSOまたは再認証の期待動作
INT-001,AUTHZ,認可,Yes,文書閲覧権限の有無を確認する必要がある,PLANNED,TC-001-003,Abnormal,Yes,,未取得,SharePoint権限画面,2026-06-28,,M365Team,文書閲覧権限の有無
INT-002,AUTHZ,認可,Yes,ADグループ所属によりSharePoint権限が変わるため,READY,TC-002-001,Normal,Yes,,未取得,AD監査ログと権限差分画面,2026-06-26,,IdentityTeam,ADグループ所属による閲覧可否
INT-002,CFG,設定反映,Yes,グループ変更の反映時間が運用影響になるため,HOLD,TC-002-002,Recovery,Yes,,未取得,設定反映確認ログ,2026-06-26,CHG-214,IdentityTeam,グループ変更の反映時間
INT-002,FAIL,障害,Yes,グループ削除後の残存権限を確認するため,PLANNED,TC-002-003,Abnormal,Yes,,未取得,AD削除監査ログ,2026-06-26,,IdentityTeam,グループ削除後の残存権限確認
INT-003,NET,通信,Yes,許可通信が成立する必要がある,READY,TC-003-001,Normal,Yes,,未取得,FortiGateトラフィックログ,2026-06-20,,NetworkTeam,許可通信の成立
INT-003,SEC,セキュリティ,Yes,拒否条件と遮断ログを確認する必要がある,PLANNED,TC-003-002,Abnormal,Yes,,未取得,FortiGate遮断ログ,2026-06-20,,NetworkTeam,拒否条件と遮断ログ
INT-003,FAIL,障害,Yes,ポリシー切戻し後の復旧を確認するため,PLANNED,TC-003-003,Recovery,Yes,,未取得,切戻し後通信ログ,2026-06-20,,NetworkTeam,ポリシー切戻し後の復旧
INT-004,AUTH,認証,Yes,ドメイン参加で認証連携が成立する必要がある,READY,TC-004-001,Normal,Yes,,未取得,イベントログ,2026-06-27,,ServerTeam,ドメイン参加
INT-004,CFG,設定反映,Yes,GPO反映がサーバ設定の前提になるため,PLANNED,TC-004-002,Normal,Yes,,未取得,GPO結果レポート,2026-06-27,,ServerTeam,GPO反映
INT-004,OPS,運用,Yes,クローン復元後の運用手順を確認するため,PLANNED,TC-004-003,Recovery,Yes,,未取得,再参加作業ログ,2026-06-27,,ServerTeam,クローン復元後の再参加
INT-005,DATA,データ連携,Yes,SyslogフィールドがSplunkで抽出できる必要がある,PASS,TC-005-001,Normal,Yes,,未取得,Splunkインデックス検索,2026-06-30,,OpsTeam,Syslogフィールド抽出
INT-005,MON,監視,Yes,ログ欠損を検知できる必要がある,PLANNED,TC-005-002,Abnormal,Yes,,未取得,欠損検知アラート,2026-06-30,,OpsTeam,ログ欠損検知
INT-006,DATA,データ連携,Yes,FortiGateイベントをSplunkで解析できる必要がある,READY,TC-006-001,Normal,Yes,,未取得,Splunkイベント検索,2026-07-01,,SecOps,FortiGateイベント解析
INT-006,MON,監視,Yes,重大イベントをアラートで検知する必要がある,FAIL,TC-006-002,Abnormal,Yes,EVD-006-002,レビュー済,Splunkアラート履歴,2026-07-01,INC-448,SecOps,重大イベントアラートが未発報
INT-006,PERF,性能,Yes,ピーク時転送遅延が監視遅延に影響するため,PLANNED,TC-006-003,Stress,Yes,,未取得,転送遅延メトリクス,2026-07-01,,SecOps,ピーク時転送遅延
INT-007,AUTH,認証,Yes,Outlook認証がAD連携に依存するため,READY,TC-007-001,Normal,Yes,,未取得,認証成功ログ,2026-06-24,,IdentityTeam,Outlook認証
INT-007,DATA,データ連携,Yes,アドレス帳属性参照が利用者操作に影響するため,PLANNED,TC-007-002,Normal,Yes,,未取得,属性参照結果画面,2026-06-24,,IdentityTeam,アドレス帳属性参照
INT-010,DATA,データ連携,Yes,保護付きメールが送受信できる必要がある,PLANNED,TC-010-001,Normal,Yes,,未取得,Virtru送信監査ログ,2026-07-02,,M365Team,保護付きメール送受信
INT-010,AUTHZ,認可,Yes,外部送信時の保護ポリシー適用を確認する必要がある,PLANNED,TC-010-002,Abnormal,Yes,,未取得,ポリシー適用結果画面,2026-07-02,,M365Team,外部送信時の保護制御
INT-011,DATA,データ連携,Yes,共有ファイルに保護ポリシーが付与される必要がある,PLANNED,TC-011-001,Normal,Yes,,未取得,共有ファイル属性と監査ログ,2026-07-02,,M365Team,共有ファイル保護
INT-011,AUTHZ,認可,Yes,共有先に応じた保護制御を確認する必要がある,PLANNED,TC-011-002,Abnormal,Yes,,未取得,共有権限画面とポリシー監査ログ,2026-07-02,,M365Team,共有先別の保護制御
INT-012,AUTH,認証,Yes,RADIUS認証要求がAD照合で成功する必要がある,PLANNED,TC-012-001,Normal,Yes,,未取得,Radius認証ログ,2026-07-02,,IdentityTeam,RADIUS認証成功
INT-012,FAIL,障害,Yes,認証失敗時の拒否動作を確認する必要がある,PLANNED,TC-012-002,Abnormal,Yes,,未取得,失敗時のRadiusログ,2026-07-02,,IdentityTeam,認証失敗時の拒否動作
INT-013,DATA,データ連携,Yes,端末台帳に利用者情報を関連付けられる必要がある,PLANNED,TC-013-001,Normal,Yes,,未取得,SKYSEA台帳画面,2026-07-02,,OpsTeam,端末台帳と利用者情報の突合
INT-013,CFG,設定反映,Yes,AD参照設定が反映される必要がある,PLANNED,TC-013-002,Normal,Yes,,未取得,設定反映ログ,2026-07-02,,OpsTeam,参照設定の反映
INT-014,DATA,データ連携,Yes,SKYSEA操作ログがSplunkへ集約される必要がある,PLANNED,TC-014-001,Normal,Yes,,未取得,Splunk検索結果,2026-07-02,,OpsTeam,SKYSEA操作ログ集約
INT-014,MON,監視,Yes,端末操作イベントを監視できる必要がある,PLANNED,TC-014-002,Abnormal,Yes,,未取得,操作イベントアラート,2026-07-02,,OpsTeam,端末操作イベント監視
INT-015,DATA,データ連携,Yes,HXイベントがSplunkへ連携される必要がある,PLANNED,TC-015-001,Normal,Yes,,未取得,Splunkイベント検索,2026-07-03,,SecOps,HXイベント集約
INT-015,MON,監視,Yes,EDRアラートを相関監視できる必要がある,PLANNED,TC-015-002,Abnormal,Yes,,未取得,相関アラート履歴,2026-07-03,,SecOps,EDRアラート監視
INT-016,CFG,設定反映,Yes,ePOからHXへポリシー配布できる必要がある,PLANNED,TC-016-001,Normal,Yes,,未取得,ePO配布ログ,2026-07-03,,SecOps,ポリシー配布
INT-016,OPS,運用,Yes,エージェント状態を統合管理できる必要がある,PLANNED,TC-016-002,Recovery,Yes,,未取得,HXエージェント状態画面,2026-07-03,,SecOps,エージェント統合管理
INT-017,DATA,データ連携,Yes,TenableがvSphere上の対象資産を取得できる必要がある,PLANNED,TC-017-001,Normal,Yes,,未取得,Tenable資産一覧,2026-07-03,,SecOps,対象資産取得
INT-017,PERF,性能,Yes,スキャン時の負荷影響を確認する必要がある,PLANNED,TC-017-002,Stress,Yes,,未取得,スキャン性能メトリクス,2026-07-03,,SecOps,スキャン時の負荷確認
