integration_id,from_component,to_component,flow_direction,integration_type,business_scenario,purpose,protocol_or_method,protocol,port,environment,criticality,owner,lifecycle_stage,prerequisite_integration_id,consumer_team,provider_team,review_status,expected_evidence,observability_point,last_tested_at,failure_impact,diagram_default,notes
INT-001,Outlook,SharePoint,output,通知,メール通知からの文書参照,通知メールから文書へアクセス,HTTPS,TCP,443,IT,High,M365Team,ケース作成済,,UserSupportTeam,M365Team,Open,アクセス画面キャプチャと認証ログ,SharePointアクセスログと利用者画面,2026-06-28,利用者が文書へ到達できない,core,URL到達と認証状態を確認
INT-002,SharePoint,Active Directory,input,認可,グループ権限による文書閲覧,グループ権限による閲覧制御,LDAP/Graph,TCP,389/443,IT,High,IdentityTeam,実施中,INT-001,M365Team,IdentityTeam,Open,権限差分画面とADグループ変更履歴,SharePoint権限画面とAD監査ログ,2026-06-26,権限過不足により情報漏えいまたは閲覧不可,core,ADグループ反映と権限差分を確認
INT-003,FortiGate,SharePoint,output,通信制御,SharePoint通信の許可と遮断,SharePoint通信の許可と拒否,HTTPS policy,TCP,443,IT,High,NetworkTeam,ケース作成済,INT-001,M365Team,NetworkTeam,Open,FWポリシー設定と遮断ログ,FortiGateトラフィックログ,2026-06-20,許可漏れまたは不要通信の通過,core,FWポリシーと遮断ログを確認
INT-004,VMware vSphere,Active Directory,input,認証,仮想サーバのドメイン参加,仮想サーバのドメイン参加,Kerberos/LDAP,TCP/UDP,88/389/445,IT,High,ServerTeam,実施中,,ServerTeam,IdentityTeam,Open,ドメイン参加結果とGPO適用ログ,イベントログとGPO結果レポート,2026-06-27,サーバ運用と認証連携が成立しない,core,GPO反映と再起動後状態を確認
INT-005,Cisco Switch,Splunk,output,ログ連携,ネットワーク機器ログ集約,ネットワーク機器ログの集約,Syslog,UDP,514,IT,Medium,OpsTeam,完了,,OpsTeam,NetworkTeam,Open,Splunk検索結果と送信元ホスト確認,Splunkインデックス検索,2026-06-30,障害解析に必要なログが欠損,secondary,送信元ホストと時刻を確認
INT-006,FortiGate,Splunk,output,監視,セキュリティイベント監視,セキュリティログ監視,Syslog,UDP,514,IT,High,SecOps,要再試験,INT-005,SecOps,NetworkTeam,Open,Splunkアラート履歴とイベント検索結果,Splunk相関検索とアラート履歴,2026-07-01,重大イベントの検知遅延または未検知,secondary,重大イベントの検知とアラートを確認
INT-007,Outlook,Active Directory,input,認証,利用者認証とアドレス帳参照,利用者認証とアドレス帳参照,Kerberos/LDAP,TCP,88/389,IT,Medium,IdentityTeam,ケース作成済,INT-001,UserSupportTeam,IdentityTeam,Open,認証成功ログと属性参照結果,認証ログと属性参照結果画面,2026-06-24,利用者認証または宛先解決に失敗,core,資格情報と属性参照を確認
INT-010,Virtru,Outlook,output,通知,保護付きメール送受信,メールでの保護連携,Mail add-in/API,TCP,443,IT,High,M365Team,ケース作成済,INT-001,UserSupportTeam,M365Team,Open,暗号化メール画面と送受信ログ,Outlook送信履歴とVirtru監査ログ,2026-07-02,保護付きメールが送受信できない,core,メールでの連携のみ仮登録
INT-011,NextLabs,SharePoint,output,ファイル連携,共有ファイルの保護制御,ファイル共有時の保護連携,Policy enforcement/API,TCP,443,IT,High,M365Team,ケース作成済,,M365Team,M365Team,Open,保護ポリシー適用結果と共有ログ,SharePoint共有履歴とポリシー監査ログ,2026-07-02,共有ファイルに保護ポリシーが適用されない,core,ファイル共有での連携のみ仮登録
INT-012,OpenFreeRadius,Active Directory,input,認証,ネットワーク認証の利用者照合,RADIUS認証基盤の利用者照合,RADIUS/LDAP,UDP/TCP,1812/389,IT,High,IdentityTeam,ケース作成済,,NetworkTeam,IdentityTeam,Open,認証成功ログとAD参照結果,Radius認証ログとAD監査ログ,2026-07-02,利用者認証が成立せずネットワーク接続できない,core,RADIUS認証バックエンドの仮連携
